X,Y,version,station,name,grid,ihdtm_x,ihdtm_y,centroid_x,centroid_y,dtm_area,altbar,aspbar,bfihost,dplbar,dpsbar,farl,fpext,ldp,propwet,rmed1h,rmed1d,rmed2d,saar,saar4170,sprhost,urbconc1990,urbext1990,urbloc1990,urbconc2000,urbext2000,urbloc2000,qmed_suitability,pooling_suitability,data_source,amax_record_length,qmed_obs,qmed_cds2008
308850,620700,3,21001,Fruid Water           ,GB,308850,620700,310750,616956,22.17,473,333,0.392,5.36,221.2,0.78,0.0113,10.46,0.72,11,46.2,64.1,1699,1750,45.21,-9.999,0,-9.999,-9.999,0,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,15,19.1,10.19865804
320550,639750,3,21005,Tweed                 ,GB,320550,639750,310348,629329,377.16,379,341,0.507,23.53,202.7,0.965,0.0481,42.63,0.66,9.9,39.9,52.7,1255,1311,37.73,-9.999,0.0008,-9.999,-9.999,0.0016,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,46,123.4855,116.5977381
352200,615850,3,21012,Teviot                ,GB,352200,615850,343049,607412,324.39,283,58,0.429,18.92,151,0.993,0.0323,33.62,0.59,10.4,38.7,50.1,1149,1207,43.58,0.76,0.0061,0.178,0.807,0.007,0.239,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,43,190.012,123.4814216
356450,638850,3,21015,Leader Water          ,GB,356450,638850,353943,650943,239.07,292,140,0.563,18.88,106.4,0.999,0.0338,31.32,0.43,9.1,35.7,47.7,853,894,33.4,-9.999,0.0013,-9.999,-9.999,0.0013,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,40,60.6065,36.6729291
388150,655000,3,21022,Whiteadder Water      ,GB,388150,655000,371489,657271,502.24,235,120,0.518,31.84,90,0.981,0.047,57.21,0.35,9,37.9,50.7,814,861,37.54,-9.999,0.0009,-9.999,-9.999,0.0018,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,37,117.71,67.73969512
306250,621550,3,21029,Tweed                 ,GB,306250,621550,305784,617310,34.37,420,10,0.353,6.35,165.2,1,0.0212,12.4,0.72,10.8,43.7,61.2,1532,1703,49.11,-9.999,0,-9.999,-9.999,0,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,11,37.765,33.80512347
386950,608300,3,22002,Coquet                ,GB,386950,608300,383302,611166,60.07,406,120,0.413,8.72,205.3,1,0.0077,15.99,0.46,9.8,36,48.7,1020,1071,51.12,-9.999,0,-9.999,-9.999,0,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,16,24.7325,25.54419957
421150,612900,3,22004,Aln                   ,GB,421150,612900,410419,614239,202.93,134,103,0.427,19.66,80,0.997,0.0406,34.67,0.45,9,35.8,44.3,758,753,35.72,-9.999,0.0046,-9.999,0.811,0.0056,0.327,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,21,61.86,36.41482252
408200,571750,3,22801,Pont                  ,GB,408200,571750,403007,571996,48.11,165,120,0.322,7.45,33.6,0.998,0.1156,15.27,0.45,9.2,31.4,40.9,684,700,39.28,-9.999,0.0021,-9.999,-9.999,0.0015,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,11,11.609,10.46772144
380250,558300,3,23012,East Allen            ,GB,380250,558300,383546,551702,88.18,386,17,0.298,12.01,105.9,0.997,0.0268,22.94,0.59,10.3,40.2,53.6,1050,1152,47.59,-9.999,0.0017,-9.999,-9.999,0.0017,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,12,80.015,47.51153502
379050,558250,3,23013,West Allen            ,GB,379050,558250,377486,551713,78.54,403,36,0.28,9.58,119.4,0.998,0.0224,17.99,0.63,10.3,39.2,54.2,1156,1259,51.64,-9.999,0.0003,-9.999,-9.999,0.0004,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,13,53.15,52.53826804
419550,570000,3,23018,Ouse Burn             ,GB,419550,570000,417785,568981,10.48,91,73,0.312,3.05,30.4,0.978,0.1296,6.24,0.45,9.4,34.2,43.4,669,695,39.7,0.824,0.0597,1.204,0.94,0.0975,1.203,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,29,2.153,2.559275825
386350,594400,3,23033,Rede                  ,GB,386350,594400,378734,601179,180.63,329,122,0.31,14.68,110.6,0.963,0.0305,28.11,0.49,9.6,33.8,45.4,1024,1124,51.15,-9.999,0.0005,-9.999,-9.999,0.0003,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,10,139.798,72.52248794
506650,455550,3,26009,West Beck,GB,506650,455550,492274,457814,195.61,105,107,0.897,21.36,55.1,0.991,0.0737,38.03,0.32,11.1,33.7,42.9,721,767,10.45,0.512,0.0079,0.643,0.699,0.0055,0.549,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,21,6.045,4.48174887
506650,455650,3,26010,Driffield Canal       ,GB,506650,455650,500434,461551,49.47,78,153,0.858,11.01,49,0.987,0.0998,19.65,0.31,10.6,32.5,42,699,729,12.6,0.776,0.0263,0.496,0.833,0.0248,0.484,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,21,2.049,1.560697605
414650,500650,3,27024,Swale                 ,GB,414650,500650,397707,501071,377.97,411,86,0.342,26.16,134.4,0.999,0.028,48.74,0.62,11,42.9,55.6,1226,1307,49.28,-9.999,0.0003,-9.999,-9.999,0.0009,-9.999,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,21,231.323,195.5616732
443250,385700,3,27025,Rother                ,GB,443250,385700,440144,373782,351.1,134,77,0.494,23.27,69.2,0.937,0.0537,39.49,0.38,10.5,34.4,43,756,760,27.97,0.757,0.1033,0.883,0.871,0.125,0.94,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,48,52.2555,38.51826875
447650,402050,3,27030,Dearne                ,GB,447650,402050,434276,406336,310.96,105,86,0.533,21.46,61.5,0.952,0.0715,45.47,0.32,10.3,33.8,45.7,696,707,25.42,0.717,0.0971,0.822,0.852,0.1056,0.829,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,46,44.0505,26.19522657
477600,483800,3,27038,Costa Beck            ,GB,477600,483800,478405,486210,7.98,83,186,0.774,3.12,36,0.99,0.1253,6.22,0.4,10.6,31.2,40.9,722,725,10.72,0.474,0.0147,0.648,0.688,0.022,0.629,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,40,1.3205,0.554597607
444250,374550,3,27040,Doe Lea               ,GB,444250,374550,445465,369344,68.1,114,18,0.433,7.83,62.2,0.968,0.0573,17.68,0.38,10.7,34.1,41.6,708,717,32.6,0.683,0.0562,0.756,0.846,0.0601,0.827,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,40,7.529,10.73659629
